Date,Firearm,Rounds,Range,Ammo,Notes
2017-06-10,700SPS,35,SPFGA,N/A,"Checking velocity & groups. Signs of cratering, this load is too hot."
2017-06-10,700SPS,12,SPFGA,N/A,Some cratering. Probably too hot.
2017-06-13,Remington 597,175,SPFGA,N/A,Practicing Mapleseed Challenge #5. Got 116/140. Lots of fail-to-fire at the end. Cleaned the rifle after this trip
2017-06-20,Gevarm,39,SPFGA,N/A,Confirming zero for 25m.
2017-06-20,Remington 597,225,SPFGA,N/A,Had to re-zero the scope at 25m as I moved it for better eye relief.
2017-06-22,M96,44,SPFGA,N/A,"+5.25 elevation, +0 MOA wind @ 300m"
2017-06-25,M96,77,SPFGA,N/A,"Was comparing 140gr and 130gr loads with 35gr H4895.
130 is +2MOA @ 200M. 2533 fps
140 is +3MOA @ 200. Moved to +2.25MOA when the barrel got hot. Around 2400fps

107gr SMK/37.5gr H4895 is 0MOA Elev / -1MOA @200. About 2800FPS"
2017-06-25,Remington 597,55,SPFGA,N/A,Practicing the standing and mag changes.
2017-06-28,Israeli 98K,36,SPFGA,N/A,"Was zeroing and trying it out. Bad groups with the 150gr. 200gr projectiles seemed to group okay, around 2MOA or a bit under."
2017-06-28,Remington 597,50,SPFGA,N/A,Benchshooting at 100m. 2MOA groups. +5.25 MOA elev.
2017-07-03,M96,35,Edson,N/A,"Gathering DOPE for 500m
+15.75 MOA"
2017-07-03,Remington 597,50,Edson,N/A,Zeroing AR-22
2017-07-03,Gevarm,25,Edson,N/A,Zeroing scope.
2017-07-04,Remington 597,350,Edson,N/A,Project Mapleseed event.  25m zero.
2017-07-12,Israeli 98K,24,SPFGA,N/A,OCW load testing with 150gr Speers and H4895.
2017-07-12,SKS,95,SPFGA,N/A,Zero Bushnell on Matador chassis w/o riser.
2017-07-14,SKS,55,SPFGA,N/A,Wandering zero. Seems that the trigger group / receiver is wandering in the chassis.
2017-07-14,M305,40,SPFGA,N/A,"-1MOA elevation, shooting at 100m."
2017-07-17,SKS,130,SPFGA,N/A,Re-seated the reciever in the chassis. Trying to fix wandering zero. The mag cover is very sticky.
2017-07-23,SKS,60,SPFGA,N/A,"100m. Around 3MOA.
Practicing. Minor Scope adjustments
No wind. 
The pin holding in the Razor mount is coming loose (vibration)?"
2017-07-23,M15A4,20,SPFGA,N/A,"Confirming zero @ 100m. Was getting about 2MOA.
Stuck round after 20 shots."
2017-07-26,M15A4,120,SPFGA,N/A,"Practicing at 200m.
+2MOA/+0MOA

25C, almost no wind. Group really opened up when the barrel got hot."
2017-08-14,Remington 597,160,SPFGA,N/A,"Shoot at 25m, mostly from the kneeling. 
+5.5/+1.5 on the dials to zero (compared to the Federal Blue Box).

 Could keep the groups inside of 2"" for the most part."
2017-08-24,SKS,90,SPFGA,N/A,"New trigger. About 5 rounds didn't fire because the not struck hard enough. Receiver still shifting in chassis, seems the moved 2MOA down and 2MOA left."
2017-08-29,SKS,105,SPFGA,N/A,About 5 FTF (weak primer strikes). Should be zeroed for 50m. Fired approximately 40 rounds from the stand low ready. 20 single and 20 controlled pairs.
2017-09-17,Israeli 98K,45,SPFGA,N/A,Zeroed for the 150gr. Need +4.5MOA for the S&B
2017-09-23,Israeli 98K,44,SPFGA,N/A,"+4.5MOA @ 100m
~ +5.5MOA @150m
+7.75MOA (or +6.5 MOA) @ 200m"
2017-09-23,PT-101,300,SPFGA,N/A,Plinking with Roland at 7m.
2017-09-27,Israeli 98K,20,SPFGA,N/A,"Confirming the drops for 100m, 150m, and 200m.
"
2017-09-30,Israeli 98K,1,SPFGA,N/A,Hunting. Doe hit around 100m.
2017-10-04,M305,50,SPFGA,N/A,"Gathering/confirm DOPE & velocities for a 200m zero.
+2C
Had to add +1.25MOA from the last time."
2017-10-08,NEA 12.5,85,SPFGA,N/A,Put a 25m zero on the Bushnell RDS. Lots of stoppages. Seems that the shoulders need to be bumped back.
2017-10-08,M305,20,SPFGA,N/A,"200m, confirming zero. +2C. Had a +1.25MOA over the summer 200m. Rest the scope zero to this."
2017-10-16,M305,45,SPFGA,N/A,"-3MOA @ 100m
-1.5MOA @ 150M"
2017-10-22,Remington 597,50,SPFGA,N/A,Just trying to chrony some of the ammo.
2017-10-28,M305,37,SPFGA,N/A,"300m. +15C.
Wind 11 o'clock, 3 to 10mph
+3MOA / -1MOA.
"
2017-11-11,M305,90,SPFGA,N/A,"Confirming DOPE after  a good cleaning of barrel.

100m -1.75MOA
150m -1.25MOA
200m - 0MOA"
2017-11-22,XD-9,160,Phoenix,N/A,Lots of stove pipes. Three time the practice ammo had a stuck case in the chamber.
2017-11-23,XD-9,30,Phoenix,N/A,Ran flawlessly with factory ammo
2017-11-23,XD-9,60,Phoenix,N/A,"Still getting stovepipes, even with the good  handloads. Suspect they are too long."
2017-11-24,CZ-85,50,Phoenix,N/A,The handloads had some stovepipes. Factory ammo ran fine.
2017-11-24,XD-9,50,Phoenix,N/A,Testing rounds of different length.
2017-11-24,CZ-85,90,Phoenix,N/A,Rapid fire at 15' and 20'. Testing some handloads for reliable.
2017-11-26,XD-9,150,Phoenix,N/A,Replaced recoil spring with Wolff springs. Some jams; could easily be attributed to the practice ammo.
2017-12-02,700SPS,60,SPFGA,N/A,"Shooting assorted handloads. Zeroing the Vortex Diamondback.

-2C / 923mb / no wind
"
2017-12-14,PT-101,285,Phoenix,N/A,The slide pin sheared.
2017-12-28,CZ-85,100,Phoenix,N/A,"Shoots okay, not a lot of jams"
2017-12-28,XD-9,75,Phoenix,N/A,"Lots of jams, no good"
2017-12-28,XD-9,30,Phoenix,N/A,
2017-12-29,CZ-85,175,Phoenix,N/A,Shoots accurate out to 21'. Did 1-2-R-3 drills.
2017-12-29,XD-9,175,Phoenix,N/A,"The same ammo runs fine in the CZ, constantly jams in this pistol."
2017-12-31,CZ-85,250,Phoenix,N/A,"5 yards
1-2-R-3 drills
Some shooting at 10 & 15 yards"
Date,Firearm,Rounds,Range,Ammo,Notes
2018-01-27,XD-9,284,Phoenix,N/A,"IPSC Black Badge Course, Day 1"
2018-01-28,XD-9,174,Phoenix,N/A,Black Badge day 2
2018-02-02,G41,150,Phoenix,N/A,Sighting in the RMR
2018-02-04,XD-9,230,Phoenix,N/A,
2018-02-08,XD-9,295,Phoenix,N/A,5/50 of the practice rounds were junk. Had 2/250 squibs with the good ammo
2018-02-14,G41,102,Phoenix,N/A,"The 800-X/6.6gr of 800-X is way to much. Groups far to big, too much flipperosity."
2018-02-15,G41,50,Phoenix,N/A,"5.1gr was not enough to cycle the action. 6.0gr seemed okay, but was hitting about 3"" high at 21'."
2018-02-19,G41,50,Phoenix,N/A,"RMR needs adjustment, but good load."
2018-02-19,XD-9,50,Phoenix,N/A,Ran fine. Hitting low left a bit - flinching.
2018-02-21,CZ-85,150,Phoenix,N/A,"Crummy groups. Crimp seems off, lots of feed issues."
2018-02-21,CZ-85,54,Phoenix,N/A,Good groups.  No feed issues
2018-02-25,CZ-85,300,Phoenix,N/A,Worked entirely on present / 2 rounds at 15'. Saw good improvement.
2018-03-02,G41,200,Phoenix,N/A,"Adjusted the RMR. Slow fire at 24ft, just learning the trigger. Got good groups. Had 9 squib loads."
2018-03-04,CZ-85,200,Phoenix,N/A,"Double action, present, 2 rounds. 30 at max range, 20 rounds at 40'."
2018-03-11,SKS,30,CHAS,N/A,Service rifle shoot. Fired 30 out of 40 (10 light primer strikes) Scored a total of 79 out of 150/200 at 200m.
2018-03-17,NEA 12.5,8,CHAS,N/A,CHAS skills & drills
2018-03-17,G41,80,CHAS,N/A,CHAS skills&drills
2018-03-18,SXP,29,CHAS,N/A,CHAS 3-gun skills & drills day.
2018-04-08,GSG STG-44,100,SPFGA,N/A,"Testing out sights. Shoots way low when set at ""1""."
2018-04-22,SKS,50,SPFGA,N/A,Had 5 light primer strikes.
2018-04-22,NEA 12.5,90,SPFGA,N/A,Just checking the zero of the TRS-25. Seemed good at 25m.
2018-04-30,NEA 12.5,400,CDTSA/Milo,N/A,"CQB clinic. Has some fail-to-feed, related to the dusty 2nd day."
2018-04-30,G41,100,CDTSA/Milo,N/A,CQB Clinic @ Milo. Has some real accuracy issues (user related).
2018-05-06,Remington 597,40,SPFGA,N/A,"Rimfire silhouette, 8/40"
2018-05-06,GSG STG-44,95,SPFGA,N/A,"25m, 6'oclock hold, sights at bottom."
2018-05-06,Remington 597,40,SPFGA,N/A,25m: -1.75MOA E/-2MOA W
2018-05-06,GSG STG-44,50,SPFGA,N/A,"25m, set sights to 100. POI is POA"
2018-05-10,G17,276,Phoenix,N/A,"The 124gr CamPro / 4.6gr HP-38 seems a bit hot.  Put the RMR on, shook off.  Wrong screws?  Needs Loctite?"
2018-05-12,CZ-85,45,Phoenix,N/A,Pratice ammo. No jams. Did double action-single action pairs.
2018-05-12,G17,300,Phoenix,N/A,One squib. Zeroing RMR. Practicing double taps at 30' and some 55' shots.
2018-05-20,M305,60,SPFGA,N/A,"Zeroing the Strike Eagle 1-6 @ 100m.
Range camera hit with spall, damaged camera."
2018-05-20,M305,40,SPFGA,N/A," 1-6 Strike Eagle, was shooting a touch high at 100m (2in?).

Shooting @ 100m. Series 15 on the Chrony."
2018-05-21,M305,39,SPFGA,N/A,Zerod rifle
2018-05-21,M305,50,SPFGA,N/A,+2MOA off the CamPro zero
2018-05-21,Remington 597,100,SPFGA,N/A,"100m 
+3.75MOA / -3.75MOA"
2018-05-24,SXP,16,CHAS,N/A,3-gun skills and drills
2018-05-24,NEA 12.5,45,CHAS,N/A,3-gun skills and drills
2018-05-24,G17,67,SPFGA,N/A,"3-gun skills and drills night. 
Was shooting consistently low, by a lot."
2018-05-27,G41,270,Phoenix,N/A,"Bill Drill @ 15' & 30'
Long range 45'"
2018-05-30,G41,149,Phoenix,N/A,"5 yards. 
Bill drill, draw & double tap.
Going slow, okay accuracy. "
2018-05-30,G17,290,Phoenix,N/A,"The 124gr CamPro FMJRN /4.5gr HP-38 seemed to be okay.

The 125gr BDX/4.8gr 800-x was good too, had softer impulse."
2018-06-18,SKS,165,SPFGA,N/A,Rezerod TRS-25.  Modified Navy Drill. Best time was 44.94 with 9 misses.
2018-06-20,Remington 597,120,SPFGA,N/A,"Was gathering DOPE at 100m for the various brands. CCI Mini Mag had the best result, followed by Winchester M22."
2018-06-25,G41,150,SPFGA,N/A,"7m. Practiced my press outs, draw from holster w/double tap."
2018-06-27,G41,200,SPFGA,N/A,"Press-outs and drawing from holster, firing a single shot."
2018-07-16,M305,25,Edson,N/A,Shot out to 600m. Got consistent hits.
2018-07-16,Israeli 98K,20,Edson,N/A,Shooting to 300m. Poor results.
2018-07-18,Israeli 98K,22,SPFGA,N/A,Just practice @ 100m
2018-07-18,M305,50,SPFGA,N/A,"300m work
+7.0MOA / -1.0MOA
+29C
Prone with Caldwell front rest and rear bag."
2018-07-19,M305,60,SPFGA,N/A,"100m zero confirm
200m +4MOA"
2018-07-22,G41,165,Phoenix,N/A,"21 feet
Draw & double tap.
Draw & fire 4 rounds. 
Had to come back to 15', groups too big at 21'."
2018-07-23,GSG STG-44,90,SPFGA,N/A,"Trying out the zero with the new sight height.
Shot some Rimfire silhouette."
2018-07-26,SKS,250,SPFGA,N/A,"50m range:
Navy Qualification Drill
2 left, 2 right. 8.3sec par
1 shot from low ready, 2 second part

"
2018-07-30,G17,200,SPFGA,N/A,"Zeroed @ 15m
Practice at 25m."
2018-07-31,GSG STG-44,100,SPFGA,N/A,Rimfire silhouette
2018-08-04,G17,300,CHAS,N/A,Sierra 64 Riflecraft pistol course.
2018-08-05,NEA 12.5,250,CHAS,N/A,Sierra 64 carbine course
2018-08-05,G41,50,CHAS,N/A,Course.
2018-08-28,G17,125,Phoenix,124gr CamPro/4.5gr HP-38,Loose screws on RMR.  Draw and fire one round at 7m
2018-09-02,SKS,160,SPFGA,Romanian,Rezered the TRS-25. Did some standing controlled pairs
2018-09-02,NEA 12.5,110,SPFGA,Assorted Handloads,Zeroed the XPS2. Did some Navy Drills.
2018-09-05,G17,200,Phoenix,124gr CamPro/4.5gr HP-38,Rezeroing the RMR. Draw & fire @ 8m. Some double taps as well. RMR screws came loose after 100 rounds or so.
2018-09-06,G41,200,Phoenix,"230gr CamPro, 6.1gr 800-X",Mostly 7m and 11m practice.
2018-09-08,NEA 12.5,160,CHAS,"55gr CamPro, 23.5gr H4895",3-gun
2018-09-08,G17,100,CHAS,125gr Remington UMC,3-gun
2018-09-09,SXP,100,CHAS,Challenger #7.5 shot,3-gun
2018-10-01,Israeli 98K,10,SPFGA,"170 gr Hornady RN, 47.5gr H4895",+6MOA
2018-10-01,Israeli 98K,5,SPFGA,"170 gr Spitzer, 47.5gr H4895",+6MOA
2018-10-01,Israeli 98K,25,SPFGA,"150 gr Speer SP, 46.0gr H4895",+4.5MOA
2018-10-01,Israeli 98K,20,SPFGA,"125 gr Spitzer, 51.5.5gr H4895",+7.5MOA
2018-10-01,Israeli 98K,45,SPFGA,Assorted Handloads,Checking velocity on various handloads
2018-10-02,NEA 12.5,45,SPFGA,55gr CamPro/23.5gr H4895,Zeroed the XPS2.
2018-10-07,NEA 12.5,600,CHAS,55gr CamPro/Assorted Powder,Sierra 64 Carbine Course.
2018-10-13,NEA 12.5,40,CHAS,55gr CamPro/23.5gr H4895,3-gun
2018-10-13,G41,100,CHAS,"230gr CamPro, 6.1gr 800-X",3-gun
2018-10-13,SXP,75,CHAS,Challenger #7.5 shot,3-gun
2018-10-17,M305,50,CHAS,Norinco 147gr,Plinking out to 500m.
2018-10-28,Israeli 98K,35,SPFGA,"150gr Speer, 46.0gr H4895","Zeroing scope for 100m, gathered DOPE for 200m. +4MOA @200"
2018-11-04,G41,200,Phoenix,"CamPro 230gr, 6.1gr 800-X",Practiced out to 15m mostly.
2018-11-04,G41,25,Phoenix,"CamPro 230gr, 4.5gr Hp-38",Trying out new load.  Like this; seemed more accurate than the 800-X
2018-11-08,G41,170,Phoenix,"CamPro 230gr, 6.1gr 800-X",
2018-11-15,G41,170,Phoenix,"CamPro 230gr, 6.1gr 800-X",Draw & fire @ 7 yards.  Slow & accurate.  Long range shots
2018-11-18,Israeli 98K,37,SPFGA,"Assorted handloads, 150gr & 125 gr",Testing the reformed brass.
2018-12-02,SLR,72,SPFGA,"55gr CamPro, 24.5gr H4895","Zeroing the Strikefire, blasting"
2018-12-08,M305,60,CHAS,147gr Handloads,3-gun
2018-12-08,G41,70,CHAS,"230gr CamPro, 6.1gr 800-X",3-gun
2018-12-08,SXP,3,CHAS,Challenger #7.5 shot,"3-gun, shotgun doesn't feed properly."
Date,Firearm,Rounds,Range,Ammo,Notes
2019-01-27,G17,250,Phoenix,"124gr Campro, 4.5gr HP-38",Confirming zero of RMR.
2019-02-18,G41,120,Phoenix,"230gr Campro, 6.0gr 800-X","Focus drill @ 5 yards. Can blow out 2"" circle if going slow."
2019-02-25,G41,150,Phoenix,"230gr Campro, 6.0gr 800-X","Focus drills @ 3,5, & yards.  Start at 6 yards next time"
2019-02-27,G41,150,Phoenix,"230gr Campro, 6.0gr 800-X",Focus drills @ 6  yards.  Start at 8 yards next time
2019-03-02,G17,75,Phoenix,"124gr CamPro, 4.5gr Hp-38",League night. slow to warm up
2019-03-06,G41,123,Phoenix,"230gr Campro, 6.0gr 800-X",variety. focus drills at 6& 8 yards. Bill drill at 5  yards
2019-03-06,G17,120,Phoenix,"124gr CamPro, 4.5gr Hp-38",Focus drills as 8 yards. draw & fire 3 rounds at 8 yards. need work on both
2019-03-17,G17,230,Phoenix,"124gr CamPro, 4.5gr Hp-38",drop & present. slow fire at 8 & 10 yards. slow fire at 15 yards
2019-03-31,STAG-10,40,SPFGA,147gr Norinco,Was trying to zero at 100m. Blasting for fun.
2019-03-31,STAG-10,44,SPFGA,"147g CamPro, 43.6gr IMR 4895","Zeroing the Strike Eagle @ 100m.
One 3rnd group was sub-MOA.  Seemed to get < 2MOA without much trying.  
Need to get used to the trigger."
2019-04-06,Remington 597,300,Phoenix,Various .22LR,"Testing the groups on assorted ammo.  In order:  Sterling Cross, M22, Choot 'em, Remington."
2019-04-10,G17,200,Phoenix,"124gr CamPro, 4.5gr HP-39","One handed shooting, both strong hand and weak hand.  Very shakey with the left hand on the red dot"
2019-04-13,STAG-10,45,CHAS 3-gun,"147gr CamPro, 43,6gr IMR 4895",Excellent results on the long range: of the 6 metal targets didn't miss once.
2019-04-13,G41,80,CHAS 3-gun,"230gr CamPro, 6.0gr 800-X",
2019-04-19,Remington 597,50,SPFGA,50 rounds assorted,"ORPS trial run. Had about 5 Fail-to-Fire with the Sterling Cross. Switched to M22, had only 1 FTF.  Ordered a new Volquartsen hammer."
2019-04-22,Remington 597,107,SPFGA,Sterling Cross,Sterling Cross ammo.  Zero to 50m.  Chrony the rounds.  No Fail-to-fire this time.
2019-05-01,G17,200,Phoenix,"124gr CamPro, 4.5gr HP-38",Draw and fire at 24'. Tried controlled pairs.  Had a downward flinch.
2019-05-08,Remington 597,77,SPFGA,Sterling Cross,"Sterling Cross ammo.  Zero to 50m. Shooting at 100m:  +7.25MOA.  Looks like I could have used -1.5MOA on windage, but it was a bit windy."
2019-05-19,Remington 597,20,SPFGA,CCI ,
2019-05-08,Remington 597,20,SPFGA,Winchester M22,"Some test shoots to compare the zero  after shooting the Sterling Cross.  Much bigger groups, and shot higher."
2019-05-11,Remington 597,60,SPFGA,Sterling Cross,May ORPS match.  Scored 160/500.
2019-05-19,SLR,70,SPFGA,"55gr CamPro, 24.8gr H4895",rezeroing at 100m
2019-05-19,Remington 597,40,SPFGA,Sterling Cross,DOPE for 100m
2019-05-19,Remington 597,20,SPFGA,Winchester M22,DOPE for 100m
2019-05-25,RPRimfire,100,SPFGA,Various .22LR,"Zeroing scope, trying out different ammo: Winchester M22, Sterling Cross, and CCI.  All seemed to be equal/consistent.Failure to extract issues.  Cleaned the bolt & chamber afterwards."
2019-05-27,RPRimfire,120,Phoenix,Remington Gold Jacket stuff,Checking for extraction issues.  Not a single problem.
2019-06-13,G17,150,Phoenix,"124gr CamPro, 4.5gr HP-38",
2019-06-09,STAG-10,109,CHAS 3-gun,"147g CamPro, 44.8gr IMR 4895",
2019-06-09,G41,154,CHAS 3-gun,"230gr CamPro, 6.0gr 800-X",
2019-06-22,Remington 597,52,SPFGA,Sterling Cross,ORPS
2019-08-10,G17,250,Phoenix,"124gr CamPro, 4.5gr HP-38",IPSC target. Mostly 18 yards for accuracy (A-zone hits). Also practices shooting controlled pairs as fast as possible in the A-Zone.
2019-08-22,G41,100,Phoenix,"200gr Hornady, 6.5gr HP-38","Shooting at 15', 30' and then 55'.  Seemed to be accurate."
2019-08-22,G41,50,Phoenix,"230gr CamPro, 6.0gr 800-X","Shooting at 55'. Deliberate shots were mostly A-Zone.Controlled pairs had one shot in the A, the other in the C or D."
2019-08-24,Remington 597,49,SPFGA,Sterling Cross,ORPS match
2019-08-24,RPRimfire,75,SPFGA,Sterling Cross,No failure to extract. Rezored at 50m. Shot from the prone as as well with the Magpul MLok bipod
